                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.86346,                0.44685,                  1.146,                0.98645,                0.95343,                 0.9906,                0.67074,                 1.2238,                0.45905,                 1.5599,               0.001241,               0.001241,               0.001241
                    117,                0.88276,                0.43969,                 1.1553,                0.98167,                 0.9607,                0.99029,                0.67281,                 1.2406,                0.45432,                 1.5902,              0.0012344,              0.0012344,              0.0012344
                    118,                0.86782,                0.43982,                 1.1515,                  0.986,                0.94323,                 0.9755,                0.64941,                 1.2418,                 0.4944,                 1.5904,              0.0012278,              0.0012278,              0.0012278
                    119,                 0.8665,                0.44105,                 1.1529,                0.97345,                0.96076,                  0.984,                0.66805,                 1.2238,                0.47377,                 1.5875,              0.0012212,              0.0012212,              0.0012212
                    120,                0.85319,                0.42672,                 1.1339,                0.97658,                0.95197,                0.98124,                0.66807,                 1.1956,                0.44841,                 1.5584,              0.0012146,              0.0012146,              0.0012146
                    121,                0.86921,                0.44594,                 1.1484,                0.97329,                0.95465,                0.97817,                0.67048,                 1.2683,                0.50382,                 1.6275,               0.001208,               0.001208,               0.001208
                    122,                0.84281,                0.43327,                 1.1318,                0.97746,                0.94667,                0.98485,                0.65751,                 1.2541,                0.49661,                 1.6068,              0.0012014,              0.0012014,              0.0012014
                    123,                0.86461,                0.43378,                 1.1502,                 0.9607,                0.96065,                0.97902,                0.66431,                 1.2078,                0.45653,                  1.561,              0.0011948,              0.0011948,              0.0011948
                    124,                0.82926,                0.42183,                 1.1272,                0.98653,                0.95929,                0.98487,                0.65738,                 1.2294,                0.46893,                   1.59,              0.0011882,              0.0011882,              0.0011882
                    125,                0.82848,                0.42723,                 1.1164,                0.98654,                0.96031,                0.98655,                0.65382,                 1.2684,                 0.4672,                 1.6289,              0.0011816,              0.0011816,              0.0011816
                    126,                 0.8673,                0.44523,                 1.1618,                 0.9734,                0.95874,                 0.9821,                0.65677,                 1.2068,                0.45755,                 1.5671,               0.001175,               0.001175,               0.001175
                    127,                0.84453,                0.44123,                 1.1371,                0.96692,                0.96507,                 0.9764,                 0.6697,                 1.2287,                0.48989,                 1.6024,              0.0011684,              0.0011684,              0.0011684
                    128,                 0.8409,                0.43339,                 1.1288,                0.97784,                0.96361,                0.98631,                0.66297,                 1.2049,                 0.4587,                 1.5751,              0.0011618,              0.0011618,              0.0011618
                    129,                0.84976,                0.44496,                 1.1369,                0.98637,                0.94776,                0.98379,                0.66091,                 1.2339,                0.47042,                 1.5919,              0.0011552,              0.0011552,              0.0011552
                    130,                 0.8587,                0.42948,                 1.1422,                0.97959,                0.95197,                0.98357,                 0.6538,                 1.2666,                0.47282,                 1.6383,              0.0011486,              0.0011486,              0.0011486
                    131,                0.83191,                0.43099,                 1.1348,                0.98134,                 0.9607,                0.97738,                0.64719,                 1.2427,                0.45903,                  1.582,               0.001142,               0.001142,               0.001142
                    132,                0.83349,                0.42943,                 1.1231,                0.98556,                 0.9607,                 0.9806,                0.66621,                 1.1962,                0.46124,                 1.5669,              0.0011354,              0.0011354,              0.0011354
                    133,                0.80139,                0.41883,                 1.1145,                0.97269,                 0.9607,                0.98199,                0.66279,                 1.2214,                0.44434,                  1.611,              0.0011288,              0.0011288,              0.0011288
                    134,                0.82322,                0.43229,                 1.1228,                0.97797,                0.96926,                0.98668,                 0.6591,                 1.2707,                0.45385,                 1.6726,              0.0011222,              0.0011222,              0.0011222
                    135,                0.82664,                0.41536,                 1.1214,                0.98642,                 0.9517,                0.97967,                0.66789,                 1.2632,                0.45485,                 1.6511,              0.0011156,              0.0011156,              0.0011156
                    136,                0.80768,                0.41149,                 1.1083,                0.98995,                 0.9607,                0.98488,                0.67346,                 1.2177,                0.46105,                 1.6096,               0.001109,               0.001109,               0.001109
                    137,                0.78406,                 0.4086,                 1.0964,                0.98213,                0.95986,                0.98381,                0.66682,                 1.2512,                 0.4887,                 1.6513,              0.0011024,              0.0011024,              0.0011024
                    138,                0.81355,                0.41936,                 1.1276,                0.97332,                0.96943,                0.98136,                 0.6718,                 1.2444,                0.45512,                  1.637,              0.0010958,              0.0010958,              0.0010958
                    139,                0.76667,                0.40271,                 1.0978,                0.97698,                0.96507,                 0.9838,                0.66543,                 1.2613,                0.47408,                 1.6732,              0.0010892,              0.0010892,              0.0010892
